model,sentence_id,source,reference,hypothesis,bleu,latency_s
argos_translate,1,"Hello, how are you?","नमस्ते, आप कैसे हैं?","नमस्ते, आप कैसे हैं?",1.0000,1.0300
argos_translate,2,Good morning.,सुप्रभात।,गुड मॉर्निंग,0.0000,0.0205
argos_translate,3,What is your name?,आपका नाम क्या है?,आपका नाम क्या है?,1.0000,0.0233
argos_translate,4,"I am fine, thank you.","मैं ठीक हूँ, धन्यवाद।","मैं ठीक हूँ, धन्यवाद।",1.0000,0.0286
argos_translate,5,Where is the train station?,रेलवे स्टेशन कहाँ है?,ट्रेन स्टेशन कहाँ है?,0.6687,0.0238
argos_translate,6,Please give me a glass of water.,कृपया मुझे एक गिलास पानी दीजिए।,कृपया मुझे एक गिलास पानी दें।,0.7598,0.0292
argos_translate,7,The weather is very nice today.,आज मौसम बहुत अच्छा है।,मौसम आज बहुत अच्छा है।,0.4518,0.0266
argos_translate,8,I would like to order some food.,मैं कुछ खाना ऑर्डर करना चाहूँगा।,मैं कुछ भोजन करना चाहूंगा।,0.1936,0.0351
argos_translate,9,Can you help me find this address?,क्या आप मुझे यह पता खोजने में मदद कर सकते हैं?,क्या आप इस पते को खोजने में मदद कर सकते हैं?,0.5707,0.0431
argos_translate,10,I need to go to the hospital immediately.,मुझे तुरंत अस्पताल जाना है।,मुझे तुरंत अस्पताल जाने की जरूरत है।,0.2627,0.0325
argos_translate,11,The children are playing in the garden.,बच्चे बगीचे में खेल रहे हैं।,बच्चे बगीचे में खेल रहे हैं।,1.0000,0.0288
argos_translate,12,She is reading a very interesting book about history.,वह इतिहास के बारे में एक बहुत दिलचस्प किताब पढ़ रही है।,वह इतिहास के बारे में एक बहुत ही रोचक पुस्तक पढ़ रही है।,0.5784,0.0477
argos_translate,13,We should leave early tomorrow morning to avoid traffic.,हमें कल सुबह जल्दी निकलना चाहिए ताकि ट्रैफिक से बचा जा सके।,हमें यातायात से बचने के लिए कल सुबह छोड़ देना चाहिए।,0.0814,0.0399
argos_translate,14,The restaurant on the corner serves excellent Indian food.,कोने पर रेस्तरां उत्कृष्ट भारतीय खाना परोसता है।,कोने पर रेस्तरां उत्कृष्ट भारतीय भोजन का कार्य करता है।,0.4111,0.0428
argos_translate,15,My grandfather told me many stories about his childhood.,मेरे दादाजी ने मुझे अपने बचपन की कई कहानियाँ सुनाईं।,मेरे दादा ने मुझे अपने बचपन के बारे में कई कहानियां सुनाई।,0.2346,0.0486
argos_translate,16,Education is the most powerful weapon which you can use to change the world.,शिक्षा सबसे शक्तिशाली हथियार है जिससे आप दुनिया बदल सकते हैं।,शिक्षा सबसे शक्तिशाली हथियार है जिसका उपयोग आप दुनिया को बदलने के लिए कर सकते हैं।,0.2935,0.0551
argos_translate,17,The train will arrive at platform number three in about ten minutes.,ट्रेन लगभग दस मिनट में प्लेटफॉर्म नंबर तीन पर आएगी।,ट्रेन लगभग दस मिनट में तीन प्लेटफॉर्म नंबर पर पहुंच जाएगी।,0.4297,0.0438
argos_translate,18,I have been living in this city for more than five years now.,मैं इस शहर में पाँच साल से अधिक समय से रह रहा हूँ।,मैं इस शहर में पांच साल से अधिक समय तक रह रहा हूँ।,0.4759,0.0478
argos_translate,19,Could you please tell me how to get to the nearest bus stop from here?,क्या आप कृपया मुझे बता सकते हैं कि यहाँ से निकटतम बस स्टॉप कैसे पहुँचें?,क्या आप मुझे बता सकते हैं कि कैसे यहां से निकटतम बस स्टॉप पर जाएं?,0.4347,0.0573
