trial,clip,transcript,translation,asr_time_s,mt_time_s,tts_time_s,total_e2e_s
1,174-168635-0009,Two meat was to find each other.,दो मांस एक दूसरे को खोजने के लिए थे।,0.2164,0.4452,0.8556,1.5172
2,5338-284437-0030,"You are not like my people, the pinkies, and there is no place for you in our country.","आप मेरे लोगों की तरह नहीं हैं, गुलाबीी और हमारे देश में आपके लिए कोई जगह नहीं है।",0.0942,0.0631,0.1229,0.2802
3,174-84280-0015,"She was destroyed, not merely by the unconquered, undisciplined passions of her husband and her lover, but by the vast tradition that sustains and enforces the subjugation of her sex.","वह नष्ट हो गई थी, न केवल अपने पति और उसके प्रेमी के अविभाजित जुनून द्वारा, बल्कि विशाल परंपरा द्वारा जो अपने यौन संबंध के अधीनस्थता को बनाए रखता है और लागू करता है।",0.1501,0.1219,0.2204,0.4924
4,6313-66129-0031,Hat too close to me. I couldn't get it explained chunky. The boys roared.,मुझे बहुत करीब है। मैं इसे चंकी नहीं मिला। लड़कों ने रोअर किया।,0.0834,0.0413,0.0704,0.1951
5,5536-43359-0009,"Before this calamity came upon us, you could not find anywhere a happier home than that created by the Indian woman.","इससे पहले कि इस कालमी हमारे सामने आए, आप भारतीय महिला द्वारा बनाई गई तुलना में कहीं भी खुश घर नहीं पा सकते।",0.1002,0.0808,0.0918,0.2729
6,6313-66129-0032,Why don't you move the pony?,क्यों आप पोनी नहीं जा सकते?,0.0430,0.0320,0.0920,0.1670
7,1988-24833-0000,The two stray kittens gradually make themselves at home.,दो stray kittens धीरे-धीरे खुद को घर पर बनाते हैं।,0.0487,0.0529,0.0564,0.1580
8,1988-147956-0017,It was so long that it bushed out behind his ears and made him look like the old portraits I remember in Virginia.,यह इतना लंबा था कि यह अपने कानों के पीछे बुश हो गया और उसे वर्जीनिया में पुराने चित्रों की तरह दिखना पड़ा।,0.0843,0.0854,0.0812,0.2508
9,1272-141231-0002,"The cut on his chest is still dripping blood. The ache of his overstrained eyes, even the soaring arena around him with the thousands of spectators, retrovialities not worth thinking about.","उसकी छाती पर कटौती अभी भी खून टपक रहा है। उनकी आंखों की पीड़ा, यहां तक कि हजारों दर्शकों के साथ उनके आसपास की पीड़ा भी, retroviality के बारे में सोचने लायक नहीं है।",0.1227,0.0913,0.1499,0.3640
10,1272-141231-0008,"He was in reverie, sliding along the borders of consciousness.","वह रिवेरी में थे, जो चेतना की सीमाओं के साथ स्लाइडिंग थे।",0.0536,0.0507,0.0929,0.1972
11,7976-110523-0004,"And as soon as their parents had gone to sleep, he got up, put on his coat, and unbarring the back door went out.","और जैसे ही उनके माता-पिता नींद गए थे, उन्हें मिला, अपने कोट पर डाल दिया और पीछे के दरवाजे को खोलना बाहर चला गया।",0.1624,0.0843,0.1258,0.3726
12,3752-4944-0019,I have these attacks at times.,मेरे पास कई बार ये हमला है।,0.0416,0.0365,0.0654,0.1435
13,3752-4944-0052,"North knew well that he would never dare to attempt any such act of violence, but the insult stung him like the cut of a whip.","उत्तर को अच्छी तरह से पता था कि वह कभी हिंसा के किसी भी तरह के कार्य का प्रयास नहीं करेगा, लेकिन अपमान ने उसे एक मार गिराया।",0.1247,0.1024,0.1252,0.3523
14,6241-61943-0025,"Thanks to the heat of these residences, grass grows in the roof, which grass is carefully cut for hay.","इन आवासों की गर्मी के लिए धन्यवाद, घास छत में बढ़ती है, जो घास ध्यान से घास के लिए कट जाती है।",0.1354,0.0782,0.0798,0.2934
15,2428-83699-0025,I had long been wishing that an old-fashioned Christmas had been completely extinct before I had thought of adventuring in quest of one.,मैं लंबे समय से यह चाह रहा था कि एक पुराने क्रिसमस पूरी तरह से विलुप्त होने से पहले मैं एक की तलाश में आगे बढ़ने के बारे में सोचा था।,0.0927,0.1035,0.1147,0.3108
16,251-118436-0000,He was young. No spear had touched him. No poison lurked in his wine.,वह युवा था। कोई भाला उसे छू गया था। कोई जहर उसकी शराब में lurked नहीं है।,0.1091,0.0453,0.1008,0.2552
17,3752-4944-0027,"Before the two clergymen had got halfway down the steep path that led from the common-dance house to the flat on which the cottages of the doctor and chaplain were built, McElwain rejoined them.","इससे पहले कि दो clergymen खड़ी पथ नीचे आधा रास्ता है कि आम नृत्य घर से फ्लैट जिस पर डॉक्टर और chaplain के कॉटेज बनाया गया था करने के लिए नेतृत्व किया था, मैकएल्वाइन उन्हें फिर से मिला।",0.1919,0.1400,0.1261,0.4580
18,3853-163249-0007,I hope you'll like him better than the frostbitten old David you first knew and were kind enough to love.,मुझे आशा है कि आप चाहते हैं कि वह फ्रॉस्टबाइटन पुराने डेविड से बेहतर है जिसे आप पहले जानते थे और प्यार करने के लिए काफी दयालु थे।,0.0772,0.0932,0.1217,0.2921
19,3081-166546-0071,"As her quiet figure appeared in the doorway, Sweetwater stole a glance at Mr. Greis.","जैसा कि उसके शांत आंकड़े दरवाजे के रास्ते में दिखाई दिए, मीठे पानी ने श्री ग्रेस पर एक नज़र डाली।",0.0687,0.0766,0.1020,0.2473
20,3170-137482-0015,"My readers may imagine whether we felt inclined to laugh when the charming creature bathed us good night, thanking us all with perfect good faith.","मेरे पाठक कल्पना कर सकते हैं कि क्या हम हंसते हुए महसूस करते हैं जब आकर्षक प्राणी हमें अच्छी रात से स्नान करता है, हमें सभी को सही विश्वास के साथ धन्यवाद देता है।",0.1748,0.1046,0.1526,0.4321
MEAN,,,,0.1088,0.0965,0.1474,0.3526
STD,,,,0.0492,0.0849,0.1664,0.2837
