model,sentence_id,source,reference,hypothesis,bleu,latency_s
argos_translate,1,"Hello, how are you?","नमस्ते, आप कैसे हैं?","नमस्कार, आप कैसे हैं?",0.7598,1.9265
argos_translate,2,Good morning.,सुप्रभात।,गुड मॉर्निंग,0.0000,0.0411
argos_translate,3,What is your name?,आपका नाम क्या है?,आपका नाम क्या है?,1.0000,0.0457
argos_translate,4,"I am fine, thank you.","मैं ठीक हूँ, धन्यवाद।","मैं ठीक हूँ, धन्यवाद।",1.0000,0.0556
argos_translate,5,Where is the train station?,रेलवे स्टेशन कहाँ है?,ट्रेन स्टेशन कहाँ है?,0.6687,0.0475
argos_translate,6,Please give me a glass of water.,कृपया मुझे एक गिलास पानी दीजिए।,कृपया मुझे एक गिलास पानी दें।,0.7598,0.0582
argos_translate,7,The weather is very nice today.,आज मौसम बहुत अच्छा है।,मौसम आज बहुत अच्छा है।,0.4518,0.0536
argos_translate,8,I would like to order some food.,मैं कुछ खाना ऑर्डर करना चाहूँगा।,मैं कुछ भोजन करना चाहूंगा।,0.1936,0.0685
argos_translate,9,Can you help me find this address?,क्या आप मुझे यह पता खोजने में मदद कर सकते हैं?,क्या आप इस पते को खोजने में मदद कर सकते हैं?,0.5707,0.0866
argos_translate,10,I need to go to the hospital immediately.,मुझे तुरंत अस्पताल जाना है।,मुझे तुरंत अस्पताल जाने की जरूरत है।,0.2627,0.0648
argos_translate,11,The children are playing in the garden.,बच्चे बगीचे में खेल रहे हैं।,बच्चे बगीचे में खेल रहे हैं।,1.0000,0.0614
argos_translate,12,She is reading a very interesting book about history.,वह इतिहास के बारे में एक बहुत दिलचस्प किताब पढ़ रही है।,वह इतिहास के बारे में एक बहुत ही रोचक पुस्तक पढ़ रही है।,0.5784,0.0984
argos_translate,13,We should leave early tomorrow morning to avoid traffic.,हमें कल सुबह जल्दी निकलना चाहिए ताकि ट्रैफिक से बचा जा सके।,हमें यातायात से बचने के लिए कल सुबह छोड़ देना चाहिए।,0.0814,0.0901
argos_translate,14,The restaurant on the corner serves excellent Indian food.,कोने पर रेस्तरां उत्कृष्ट भारतीय खाना परोसता है।,कोने पर रेस्तरां उत्कृष्ट भारतीय भोजन का कार्य करता है।,0.4111,0.0792
argos_translate,15,My grandfather told me many stories about his childhood.,मेरे दादाजी ने मुझे अपने बचपन की कई कहानियाँ सुनाईं।,मेरे दादा ने मुझे अपने बचपन के बारे में कई कहानियां सुनाई।,0.2346,0.1039
