model,clip,ground_truth,hypothesis,wer,latency_s
tiny.en,3081-166546-0017,yes he's mercurial in all his movements,"Yes, he's more curial in all his movements.",0.2857,0.2342
tiny.en,251-137823-0012,his friend's eyelids flickered,His friend's eyelids flicked.,0.2500,0.0385
tiny.en,3853-163249-0056,i could not love thee dear so much loved i not honor more,I could not love the deer so much. Love I not honor more.,0.2308,0.0533
tiny.en,2086-149220-0007,it now contained only chanticleer his two wives and a solitary chicken,"It now contained only Shanti Claire, his two wives, and a solitary chicken.",0.1667,0.0606
tiny.en,8842-302196-0005,often would he avail himself of any special grace of his own idiom and epoch if only his will belonged to him often would some cadence serve him but for his author's structure some structure but for his author's cadence often the beautiful turn of a stanza must be weakened to adopt some rhyme which will tally and he sees the poet revelling in abundance of language where himself is scantily supplied,"Often would he avail himself of any special grace of his own idiom in Epoch, if only his will belonged to him. Often would some cadence serve him, but for his author's structure, some structure but for his author's cadence. Often the beautiful turn of a stanza must be weakened to adopt some rhyme which will tally, and he sees the poet reveling in abundance of language where himself is scantily supplied.",0.0278,0.2144
tiny.en,7850-73752-0007,how many incidents how many characters how many feelings flitted over his memory of what sweet and bitter experience did he not chew the cud,"How many incidents, how many characters, how many feelings flitted over his memory, of what sweet and bitter experience that he not chewed the cud?",0.0800,0.0826
tiny.en,174-168635-0015,and then he talked of her mother and he made her pray,And then he talked to her mother and he made her pray.,0.0833,0.0652
tiny.en,7850-73752-0016,he might be enchanted but that was the talisman,"He might be enchanted, but that was the talisman.",0.0000,0.0425
tiny.en,2277-149897-0036,so here it was spread out clear before him and now he knew what to expect,So here it was spread out clear before him and now he knew what to expect.,0.0000,0.0465
tiny.en,652-130726-0019,his prices are moderate and his cooking and viands of the best and will satisfy the most critical of the gourmets,"His prices are moderate and is cooking in vines of the best, and will satisfy the most critical of the gourmet.",0.1905,0.0904
tiny.en,3081-166546-0012,a man was looking in from the corridor behind at the four persons we were just discussing,A man was looking in from the corridor behind. At the four persons we were just discussing.,0.0000,0.0567
tiny.en,6295-244435-0031,the air too was unlike that of south carolina there was a sharper tang to it,The air too was unlike that of South Carolina. There was a sharper tang to it.,0.0000,0.0497
tiny.en,2086-149220-0008,it was evident that the race had degenerated like many a noble race besides in consequence of too strict a watchfulness to keep it pure,"It was evident that the race had degenerated, like many unknowable race besides, and consequence of two strict to watchfulness to keep it pure.",0.2000,0.1089
